id,code,nom,nom_norm,lon,lat,epci_id,epci_nom,bassin_vie_id,bassin_vie_nom,zone_emploi_id,zone_emploi_nom,arr_dept_id,arr_dept_nom,dept_id,date,type,parent,date_debut,date_fin,old_type,old_nom,old_nom_norm,old_date_fin
29232,29232,Quimper,QUIMPER,-4.100692662565191,47.99131368169816,200068120,Communauté d'agglomération Quimper Bretagne Occidentale,29232,Quimper,5313,Quimper,294,Quimper,29,2025-06-26 23:11:58.607675,,,1943-01-01,,,,,
29233,29233,Quimperlé,QUIMPERLE,-3.5520028764100253,47.86688304837319,242900694,Communauté d'agglomération Quimperlé Communauté,29233,Quimperlé,5314,Quimperlé,294,Quimper,29,2025-06-26 23:11:58.608675,,,1943-01-01,,,,,
29234,29234,Rédené,REDENE,-3.4870635820064346,47.85540784301044,242900694,Communauté d'agglomération Quimperlé Communauté,29233,Quimperlé,5314,Quimperlé,294,Quimper,29,2025-06-26 23:12:48.936942,,,1943-01-01,,,,,
39356,39356,Montigny-sur-l'Ain,MONTIGNY SUR L AIN,5.791874581125955,46.70513888866655,200069623,Communauté de communes Champagnole Nozeroy Jura,39097,Champagnole,2713,Lons-le-Saunier,392,Lons-le-Saunier,39,2025-06-26 23:12:54.563664,,,1943-01-01,,,,,
29238,29238,Roscanvel,ROSCANVEL,-4.558364363452386,48.31904393236026,200066868,Communauté de communes Presqu'île de Crozon-Aulne maritime,29042,Crozon,5302,Brest,292,Châteaulin,29,2025-06-26 23:11:58.610663,,,1943-01-01,,,,,
29239,29239,Roscoff,ROSCOFF,-3.9886920855904893,48.71198301481465,200067072,Communauté de communes Haut-Léon Communauté,29259,Saint-Pol-de-Léon,5310,Morlaix,293,Morlaix,29,2025-06-26 23:12:00.810062,,,1943-01-01,,,,,
29240,29240,Rosnoën,ROSNOEN,-4.198547009498202,48.2713740550642,200066868,Communauté de communes Presqu'île de Crozon-Aulne maritime,29053,Le Faou,5302,Brest,292,Châteaulin,29,2025-06-26 23:12:05.050909,,,1943-01-01,,,,,
29241,29241,Rosporden,ROSPORDEN,-3.8092277749489654,47.9597584545726,242900769,Communauté d'agglomération Concarneau Cornouaille Agglomération,29241,Rosporden,5313,Quimper,294,Quimper,29,2025-06-26 23:12:13.368274,,,1943-01-01,,,,,
29243,29243,Saint-Coulitz,SAINT COULITZ,-4.0668816427869325,48.1822187718119,200067247,Communauté de communes Pleyben-Châteaulin-Porzay,29026,Châteaulin,5313,Quimper,292,Châteaulin,29,2025-06-26 23:12:17.629065,,,1943-01-01,,,,,
29244,29244,Saint-Derrien,SAINT DERRIEN,-4.186614904957189,48.54460087869844,242900751,Communauté de communes du Pays de Landivisiau,29105,Landivisiau,5310,Morlaix,293,Morlaix,29,2025-06-26 23:12:35.012683,,,1943-01-01,,,,,
29245,29245,Saint-Divy,SAINT DIVY,-4.3301926876030326,48.4543094702601,242900801,Communauté d'agglomération du Pays de Landerneau-Daoulas,29103,Landerneau,5302,Brest,291,Brest,29,2025-06-26 23:13:05.370392,,,1943-01-01,,,,,
29246,29246,Saint-Eloy,SAINT ELOY,-4.115395877714945,48.36353533032621,242900801,Communauté d'agglomération du Pays de Landerneau-Daoulas,29053,Le Faou,5302,Brest,291,Brest,29,2025-06-26 23:12:05.051897,,,1943-01-01,,,,,
29248,29248,Saint-Frégant,SAINT FREGANT,-4.373338899494062,48.59979641473369,242900793,Communauté de communes Communauté Lesneven Côte des Légendes,29124,Lesneven,5302,Brest,291,Brest,29,2025-06-26 23:12:35.013965,,,1943-01-01,,,,,
29249,29249,Saint-Goazec,SAINT GOAZEC,-3.765913026820813,48.1516579208143,242900561,Communauté de communes de Haute Cornouaille,29027,Châteauneuf-du-Faou,5303,Carhaix-Plouguer,292,Châteaulin,29,2025-06-26 23:12:28.78004,,,1943-01-01,,,,,
29250,29250,Saint-Hernin,SAINT HERNIN,-3.6110053773429787,48.208123146867024,242900744,Communauté de communes Poher communauté,29024,Carhaix-Plouguer,5303,Carhaix-Plouguer,292,Châteaulin,29,2025-06-26 23:11:58.612663,,,1943-01-01,,,,,
29251,29251,Saint-Jean-du-Doigt,SAINT JEAN DU DOIGT,-3.7628687534784238,48.670024977248175,242900835,Communauté d'agglomération Morlaix Communauté,29151,Morlaix,5310,Morlaix,293,Morlaix,29,2025-06-26 23:12:02.155673,,,1943-01-01,,,,,
29252,29252,Saint-Jean-Trolimon,SAINT JEAN TROLIMON,-4.309159028172405,47.86849342864431,242900702,Communauté de communes du Pays Bigouden Sud,29220,Pont-l'Abbé,5313,Quimper,294,Quimper,29,2025-06-26 23:12:17.63106,,,1943-01-01,,,,,
29254,29254,Saint-Martin-des-Champs,SAINT MARTIN DES CHAMPS,-3.855971984495013,48.576054946393214,242900835,Communauté d'agglomération Morlaix Communauté,29151,Morlaix,5310,Morlaix,293,Morlaix,29,2025-06-26 23:12:13.369283,,,1943-01-01,,,,,
