id,code,nom,nom_norm,lon,lat,is_irisee,arrondissement_code,arrondissement_nom,type,grd_quart_code,grd_quart_nom,in_ctu,commune_id,date,is_main
604960000,604960000,Plainville,PLAINVILLE,2.4509166481312334,49.61291362115202,f,60496,Plainville,C,6049600,,f,60496,2025-06-26 23:18:19.484379,t
612400000,612400000,Macé,MACE,0.13722284532256415,48.647619380689385,f,61240,Macé,C,6124000,,f,61240,2025-06-26 23:18:19.498153,t
596390000,596390000,Wargnies-le-Grand,WARGNIES LE GRAND,3.6581607346468608,50.30721118653545,f,59639,Wargnies-le-Grand,C,5963900,,f,59639,2025-06-26 23:18:19.460387,t
602680000,602680000,Gannes,GANNES,2.4197469875939395,49.573688628740946,f,60268,Gannes,C,6026800,,f,60268,2025-06-26 23:18:19.475402,t
613320000,613320000,Pointel,POINTEL,-0.348944564774149,48.69485695165069,f,61332,Pointel,C,6133200,,f,61332,2025-06-26 23:18:19.502169,t
613600000,613600000,Saint-Agnan-sur-Sarthe,SAINT AGNAN SUR SARTHE,0.4294040987203859,48.62152860925219,f,61360,Saint-Agnan-sur-Sarthe,C,6136000,,f,61360,2025-06-26 23:18:19.505149,t
611690201,611690201,Paulette Duhalde,PAULETTE DUHALDE,-0.5731508684644269,48.749136557753275,t,61169,Flers,A,6116902,Flers Ouest,f,61169,2025-06-26 23:18:19.497144,t
614640000,614640000,Sées,SEES,0.1694858451273666,48.60448108189426,f,61464,Sées,C,6146400,,f,61464,2025-06-26 23:18:19.508153,t
601030000,601030000,Bresles,BRESLES,2.2503144319880892,49.41387330222565,f,60103,Bresles,C,6010300,,f,60103,2025-06-26 23:18:19.464294,t
606180000,606180000,Séry-Magneval,SERY MAGNEVAL,2.8601455120238315,49.25822531274644,f,60618,Séry-Magneval,C,6061800,,f,60618,2025-06-26 23:18:19.488363,t
603280000,603280000,Juvignies,JUVIGNIES,2.0909579093253177,49.523885515772115,f,60328,Juvignies,C,6032800,,f,60328,2025-06-26 23:18:19.477405,t
601470000,601470000,Chevincourt,CHEVINCOURT,2.851412401756758,49.51691962299646,f,60147,Chevincourt,C,6014700,,f,60147,2025-06-26 23:18:19.468403,t
612870000,612870000,Montilly-sur-Noireau,MONTILLY SUR NOIREAU,-0.5711280516923956,48.81466856957361,f,61287,Montilly-sur-Noireau,C,6128700,,f,61287,2025-06-26 23:18:19.499153,t
601770000,601770000,Cressonsacq,CRESSONSACQ,2.568506980432345,49.44847347805355,f,60177,Cressonsacq,C,6017700,,f,60177,2025-06-26 23:18:19.470402,t
